매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그
아파트,주공7단지 707동,강원도 춘천시 후평동 477,월세500/50,57/46m²,1/5층,남서향,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,
아파트,주공7단지 707동,강원도 춘천시 후평동 477,월세500/50,57/46m²,1/5층,남향,
아파트,후평봉의 6동,강원도 춘천시 후평동 542-3,"전세5,000",41B/41m²,5/5층,동향,
아파트,주공5단지 503동,강원도 춘천시 후평동 481,"전세9,500",49B/39m²,2/5층,남향,
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,"월세5,000/40",66/49m²,11/15층,남향,
원룸,일반원룸,강원도 춘천시 후평동 704-13,"전세8,000",-/38m²,2/4층,북서향,"10년이내, 화장실한개, 방한개"
원룸,일반원룸,강원도 춘천시 후평동 872-10,"전세5,000",27/27m²,중/3층,남서향,"25년이상, 소형평수, 방한개, 화장실한개"
아파트,주공5단지 510동,강원도 춘천시 후평동 481,월세500/50,49A/39m²,3/5층,남동향,
원룸,일반원룸,강원도 춘천시 후평동 736-14,월세100/30,25/25m²,중/2층,남동향,"25년이상, 융자금없는, 소형평수"
원룸,일반원룸,강원도 춘천시 후평동 245-97,월세200/28,21/21m²,저/3층,동향,"25년이상, 소형평수, 방한개"
아파트,주공5단지 507동,강원도 춘천시 후평동 481,월세500/55,57/46m²,4/5층,남동향,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,
아파트,주공5단지 508동,강원도 춘천시 후평동 481,"전세1억 1,000",57/47m²,4/5층,남동향,
원룸,일반원룸,강원도 춘천시 후평동 684-21,월세300/40,33/30m²,3/4층,남서향,"10년이내, 소형평수, 화장실한개, 방한개"
원룸,일반원룸,강원도 춘천시 후평동 675-22,월세200/30,26/26m²,1/3층,남향,"25년이내, 1층, 복층, 화장실한개"
아파트,주공5단지 510동,강원도 춘천시 후평동 481,월세300/30,49A/39m²,4/5층,남동향,
단독/다가구,단독,강원도 춘천시 후평동,"전세6,000",49/49m²,2/2층,남동향,"25년이상, 융자금없는, 테라스, 소형평수"
