매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,위도,경도
원룸,일반원룸,강원도 춘천시 석사동 834-8,월세300/30,16/22m²,3/4층,동향,"25년이내, 융자금없는, 소형평수, 방한개",37.8537839,127.7463366
원룸,일반원룸,강원도 춘천시 석사동 838-2,"전세3,800",22/22m²,3/4층,동향,"25년이내, 융자금적은, 소형평수, 방한개",37.8535632,127.7469728
원룸,일반원룸,강원도 춘천시 석사동 830-2,월세300/30,22/22m²,2/3층,동향,"25년이내, 융자금없는, 소형평수, 방한개",37.8545086,127.7467111
원룸,일반원룸,강원도 춘천시 석사동 834-2,"전세5,000",33/33m²,2/3층,서향,"15년이내, 소형평수, 방한개, 화장실한개",37.8541626,127.7465356
원룸,일반원룸,강원도 춘천시 석사동 902-3,월세300/28,25/25m²,3/4층,북서향,"25년이내, 소형평수, 방한개, 화장실한개",37.8505276,127.7491101
원룸,일반원룸,강원도 춘천시 석사동 313-20,"전세5,000",26/26m²,1/3층,북서향,"25년이상, 융자금없는, 1층, 세대분리",37.8572422,127.7478589
아파트,근로복지(석사) 107동,강원도 춘천시 석사동 694-1,전세1억,58B/47m²,5/5층,남향,,37.8620242,127.7383072
원룸,일반원룸,강원도 춘천시 석사동 830-1,"전세5,000",26/26m²,3/4층,북동향,"25년이내, 융자금적은, 화장실한개, 소형평수",37.8545691,127.7468668
원룸,일반원룸,강원도 춘천시 석사동 302-1,월세300/26,24/24m²,1/3층,북동향,"25년이내, 융자금적은, 1층, 화장실한개",37.8573502,127.7458177
원룸,일반원룸,강원도 춘천시 석사동 310-13,월세200/24,23/23m²,2/3층,동향,"25년이상, 융자금없는, 화장실한개, 소형평수",37.8570815,127.7466064
원룸,일반원룸,강원도 춘천시 석사동 830-1,월세300/35,34/30m²,3/4층,서향,"25년이내, 융자금적은, 화장실한개, 소형평수",37.8545691,127.7468668
원룸,일반원룸,강원도 춘천시 석사동 108-8,월세300/35,25/25m²,2/3층,서향,"15년이내, 융자금적은, 복층, 화장실한개",37.8578431,127.7506145
원룸,일반원룸,강원도 춘천시 석사동 313-13,월세200/26,24/24m²,1/3층,서향,"25년이내, 융자금없는, 1층, 세대분리",37.8567677,127.7481828
원룸,일반원룸,강원도 춘천시 석사동 923-1,"전세5,500",40/35m²,2/4층,남서향,"25년이내, 세대분리, 화장실한개, 소형평수",37.8490984,127.7517227
원룸,일반원룸,강원도 춘천시 석사동 834-6,월세300/38,33/30m²,3/4층,남서향,"10년이내, 소형평수, 화장실한개, 방한개",37.853742,127.7461051
원룸,일반원룸,강원도 춘천시 석사동 951-7,월세300/33,30/28m²,2/3층,남서향,"25년이내, 융자금적은, 세대분리, 화장실한개",37.8479517,127.7512432
단독/다가구,단독,강원도 춘천시 석사동,"전세7,000",40/35m²,2/3층,남서향,"10년이내, 융자금적은, 화장실한개, 소형평수",37.858413,127.7508221
원룸,일반원룸,강원도 춘천시 석사동 928-6,월세300/40,30/30m²,3/4층,남향,"10년이내, 소형평수, 화장실한개, 방한개",37.8487341,127.7524082
원룸,일반원룸,강원도 춘천시 석사동 840-7,월세300/30,16/22m²,2/3층,동향,"25년이내, 융자금없는, 화장실한개, 소형평수",37.8532096,127.7469284
원룸,일반원룸,강원도 춘천시 석사동 940-5,월세300/30,40/40m²,4/4층,남동향,"25년이내, 소형평수, 방한개, 화장실한개",37.8486864,127.7496812
단독/다가구,다가구,강원도 춘천시 석사동 767-8,월세200/30,21/19m²,2/3층,남동향,"25년이내, 소형평수, 방한개, 화장실한개",37.8636337,127.7491714
아파트,근로복지(석사) 108동,강원도 춘천시 석사동 694-1,"월세1,000/50",58A/46m²,5/5층,남향,,37.8620242,127.7383072
아파트,세경5차 508동,강원도 춘천시 석사동 694,"월세1,000/50",65/48m²,4/5층,남서향,,37.8627861,127.7372546
단독/다가구,단독,강원도 춘천시 석사동,"전세2,000",26/26m²,2/3층,동향,"25년이상, 소형평수, 방한개, 화장실한개",37.858413,127.7508221
원룸,일반원룸,강원도 춘천시 석사동 656-11,월세300/28,30/25m²,2/3층,남서향,"25년이상, 소형평수, 방한개, 화장실한개",37.8591685,127.7397525
원룸,일반원룸,강원도 춘천시 석사동 902-3,월세300/28,33/33m²,3/4층,남서향,"25년이내, 소형평수, 방한개, 화장실한개",37.8505276,127.7491101
원룸,일반원룸,강원도 춘천시 석사동 838-2,"전세3,600",23/23m²,3/4층,남서향,"25년이내, 융자금없는, 화장실한개, 소형평수",37.8535632,127.7469728
