매물 유형,매물 제목,소재지,가격,면적,층수,방향,위도,경도
원룸,일반원룸,강원도 춘천시 후평동 442-89,"전세7,000",33/30m²,3/4층,남동향,37.8792902,127.7456176
원룸,일반원룸,강원도 춘천시 후평동 704-13,"전세8,000",35/33m²,2/4층,남동향,37.8833302,127.7472917
원룸,일반원룸,강원도 춘천시 후평동 722-20,월세300/35,28/28m²,3/4층,남서향,37.8852913,127.7486122
원룸,일반원룸,강원도 춘천시 후평동 498-160,월세300/30,28/25m²,2/3층,남서향,37.8768017,127.7453394
원룸,일반원룸,강원도 춘천시 후평동 116-5,"전세8,000",33/30m²,4/4층,남서향,37.885562,127.7537103
원룸,일반원룸,강원도 춘천시 후평동 714-11,월세100/20,27/24m²,2/5층,남서향,37.8867045,127.7448285
원룸,일반원룸,강원도 춘천시 후평동 673-7,월세300/30,27/23m²,1/3층,북향,37.8807799,127.7412806
원룸,일반원룸,강원도 춘천시 후평동 722-35,월세500/55,50/45m²,3/4층,북향,37.8853332,127.7492242
원룸,일반원룸,강원도 춘천시 후평동 731-12,"전세6,000",26/26m²,2/4층,서향,37.8850513,127.7506872
원룸,일반원룸,강원도 춘천시 후평동 738-4,월세300/42,26/26m²,2/4층,동향,37.8866508,127.7543145
원룸,일반원룸,강원도 춘천시 후평동 744-4,월세300/38,29/29m²,2/4층,남동향,37.8874187,127.7523357
단독/다가구,다가구,강원도 춘천시 후평동 872-10,"전세5,000",33/33m²,2/3층,남서향,37.8765753,127.7579326
단독/다가구,다가구,강원도 춘천시 후평동 875-13,"전세7,000",42/42m²,2/3층,남서향,37.8758449,127.7583103
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,월세500/55,66/49m²,7/15층,남동향,37.8855413,127.7444675
