매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,위도,경도
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/48,48A/21m²,20/23층,북서향,,37.8631809,127.7299503
단독/다가구,단독,강원도 춘천시 퇴계동 897-3,"전세2,800",22/22m²,2/3층,남동향,"25년이상, 융자금없는, 소형평수, 방한개",37.8606697,127.7265284
단독/다가구,단독,강원도 춘천시 퇴계동 897-3,월세500/48,28/28m²,3/3층,남동향,"25년이상, 융자금없는, 소형평수, 방두개",37.8606697,127.7265284
원룸,일반원룸,강원도 춘천시 퇴계동 1149,"월세1,000/65",50/47m²,3/4층,남서향,"10년이내, 화장실한개, 소형평수, 방두개",37.8650259,127.72699
원룸,일반원룸,강원도 춘천시 퇴계동 111-22,월세500/43,28/28m²,3/4층,동향,"10년이내, 융자금적은, 소형평수, 화장실한개",37.851532,127.7354828
단독/다가구,단독,강원도 춘천시 퇴계동,"전세7,500",191m²,-/-층,북동향,"15년이내, 융자금없는, 세대분리, 화장실한개",37.8539506,127.7315342
원룸,일반원룸,강원도 춘천시 퇴계동 881-6,월세300/37,25/25m²,2/3층,남서향,"25년이상, 융자금적은, 화장실한개, 소형평수",37.8613302,127.724402
원룸,일반원룸,강원도 춘천시 퇴계동 630-7,월세500/44,35/33m²,3/4층,남동향,"10년이내, 역세권, 화장실한개, 소형평수",37.8639302,127.7225048
원룸,일반원룸,강원도 춘천시 퇴계동 641-1,월세300/43,28/28m²,3/4층,남향,"10년이내, 융자금적은, 역세권, 소형평수",37.8640428,127.726767
원룸,일반원룸,강원도 춘천시 퇴계동 947-1,월세300/37,31/30m²,2/5층,남서향,"25년이내, 화장실한개, 소형평수, 방한개",37.861643,127.7354382
원룸,일반원룸,강원도 춘천시 퇴계동 956-16,월세300/40,33/31m²,2/3층,북동향,"25년이내, 화장실한개, 소형평수, 방한개",37.8608677,127.7353011
단독/다가구,다가구,강원도 춘천시 퇴계동 1118,월세500/55,50/50m²,2/3층,남향,"15년이내, 소형평수, 방두개, 화장실한개",37.8607047,127.7348214
원룸,일반원룸,강원도 춘천시 퇴계동 956-12,월세200/30,30/30m²,2/3층,남동향,"25년이내, 화장실한개, 소형평수, 방한개",37.8605418,127.7358407
원룸,일반원룸,강원도 춘천시 퇴계동 947-3,월세300/30,27/26m²,2/3층,북동향,"25년이내, 화장실한개, 소형평수, 방한개",37.8614795,127.7354043
원룸,일반원룸,강원도 춘천시 퇴계동 1099,"전세6,000",45/42m²,2/3층,북동향,"15년이내, 화장실한개, 소형평수, 방한개",37.8618089,127.7352748
원룸,일반원룸,강원도 춘천시 퇴계동 1141-20,월세500/45,24/20m²,1/3층,남향,"25년이내, 1층, 화장실한개, 소형평수",37.8651878,127.7292685
원룸,일반원룸,강원도 춘천시 퇴계동 899-7,월세300/40,33/2m²,중/4층,남향,"4년이내, 융자금없는, 소형평수, 화장실한개",37.8609125,127.7272626
원룸,일반원룸,강원도 춘천시 퇴계동 893-2,"전세7,500",24/24m²,3/4층,남향,"15년이내, 화장실한개, 소형평수, 방한개",37.8610099,127.7278248
원룸,일반원룸,강원도 춘천시 퇴계동 956-11,"전세4,500",44/44m²,4/4층,남동향,"15년이내, 화장실한개, 소형평수, 방한개",37.860463,127.7359792
원룸,일반원룸,강원도 춘천시 퇴계동 905-5,월세300/33,27/25m²,3/5층,동향,"25년이내, 융자금없는, 화장실한개, 소형평수",37.8600503,127.725686
